"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","1,602.56","1,602.56","1,602.56","1,602.56","","-1.44%"
"04/06/2022","1,625.93","1,625.93","1,625.93","1,625.93","","0.26%"
"04/05/2022","1,621.68","1,621.68","1,621.68","1,621.68","","-0.36%"
"04/04/2022","1,627.59","1,627.59","1,627.59","1,627.59","","0.46%"
"04/01/2022","1,620.06","1,620.06","1,620.06","1,620.06","","2.04%"
"03/31/2022","1,587.71","1,587.71","1,587.71","1,587.71","","0.16%"
"03/30/2022","1,585.13","1,585.13","1,585.13","1,585.13","","-0.70%"
"03/29/2022","1,596.28","1,596.28","1,596.28","1,596.28","","1.06%"
"03/28/2022","1,579.59","1,579.59","1,579.59","1,579.59","","-0.97%"
"03/25/2022","1,595.05","1,595.05","1,595.05","1,595.05","","0.14%"
"03/24/2022","1,592.85","1,592.85","1,592.85","1,592.85","","-0.34%"
"03/23/2022","1,598.31","1,598.31","1,598.31","1,598.31","","-0.21%"
"03/22/2022","1,601.68","1,601.68","1,601.68","1,601.68","","0.80%"
"03/21/2022","1,588.99","1,588.99","1,588.99","1,588.99","","2.30%"
"03/18/2022","1,553.23","1,553.23","1,553.23","1,553.23","","0.59%"
"03/17/2022","1,544.09","1,544.09","1,544.09","1,544.09","","-0.15%"
"03/16/2022","1,546.48","1,546.48","1,546.48","1,546.48","","0.38%"
"03/15/2022","1,540.68","1,540.68","1,540.68","1,540.68","","0.51%"
"03/14/2022","1,532.90","1,532.90","1,532.90","1,532.90","","-1.64%"
"03/11/2022","1,558.39","1,558.39","1,558.39","1,558.39","","-1.10%"
"03/10/2022","1,575.69","1,575.69","1,575.69","1,575.69","","0.10%"
"03/09/2022","1,574.16","1,574.16","1,574.16","1,574.16","","0.09%"
"03/08/2022","1,572.75","1,572.75","1,572.75","1,572.75","","-1.62%"
"03/07/2022","1,598.59","1,598.59","1,598.59","1,598.59","","-0.67%"
"03/04/2022","1,609.43","1,609.43","1,609.43","1,609.43","","0.18%"
"03/03/2022","1,606.56","1,606.56","1,606.56","1,606.56","","1.66%"
"03/02/2022","1,580.38","1,580.38","1,580.38","1,580.38","","-0.74%"
"03/01/2022","1,592.12","1,592.12","1,592.12","1,592.12","","0.58%"
"02/28/2022","1,582.99","1,582.99","1,582.99","1,582.99","","-0.52%"
"02/25/2022","1,591.28","1,591.28","1,591.28","1,591.28","","0.20%"
"02/24/2022","1,588.17","1,588.17","1,588.17","1,588.17","","-1.19%"
"02/23/2022","1,607.25","1,607.25","1,607.25","1,607.25","","0.71%"
"02/22/2022","1,595.92","1,595.92","1,595.92","1,595.92","","-0.65%"
"02/21/2022","1,606.33","1,606.33","1,606.33","1,606.33","","0.25%"
"02/18/2022","1,602.34","1,602.34","1,602.34","1,602.34","","-0.07%"
"02/17/2022","1,603.48","1,603.48","1,603.48","1,603.48","","1.13%"
"02/16/2022","1,585.60","1,585.60","1,585.60","1,585.60","","0.13%"
"02/15/2022","1,583.55","1,583.55","1,583.55","1,583.55","","1.63%"
"02/14/2022","1,558.17","1,558.17","1,558.17","1,558.17","","-1.91%"
"02/11/2022","1,588.43","1,588.43","1,588.43","1,588.43","","-0.35%"
"02/10/2022","1,594.05","1,594.05","1,594.05","1,594.05","","-0.23%"
"02/09/2022","1,597.69","1,597.69","1,597.69","1,597.69","","0.62%"
"02/08/2022","1,587.80","1,587.80","1,587.80","1,587.80","","0.20%"
"02/07/2022","1,584.66","1,584.66","1,584.66","1,584.66","","0.87%"
"01/28/2022","1,570.94","1,570.94","1,570.94","1,570.94","","0.72%"
